ablation_type,parameter,metric,mean,std,ci_string
freeze_layers,freeze_0,auc,0.5971372014679682,0.03596392172969166,0.5971 ± 0.0407
freeze_layers,freeze_0,auprc,0.14611967372671872,0.020430755668550196,0.1461 ± 0.0231
freeze_layers,freeze_0,accuracy,0.8879979497003255,0.009421117556655393,0.8880 ± 0.0107
freeze_layers,freeze_0,precision,0.0,0.0,0.0000 ± 0.0000
freeze_layers,freeze_0,recall,0.0,0.0,0.0000 ± 0.0000
freeze_layers,freeze_3,auc,0.5971372014679682,0.03596392172969166,0.5971 ± 0.0407
freeze_layers,freeze_3,auprc,0.14611967372671872,0.020430755668550196,0.1461 ± 0.0231
freeze_layers,freeze_3,accuracy,0.8879979497003255,0.009421117556655393,0.8880 ± 0.0107
freeze_layers,freeze_3,precision,0.0,0.0,0.0000 ± 0.0000
freeze_layers,freeze_3,recall,0.0,0.0,0.0000 ± 0.0000
freeze_layers,freeze_6,auc,0.5971372014679682,0.03596392172969166,0.5971 ± 0.0407
freeze_layers,freeze_6,auprc,0.14611967372671872,0.020430755668550196,0.1461 ± 0.0231
freeze_layers,freeze_6,accuracy,0.8879979497003255,0.009421117556655393,0.8880 ± 0.0107
freeze_layers,freeze_6,precision,0.0,0.0,0.0000 ± 0.0000
freeze_layers,freeze_6,recall,0.0,0.0,0.0000 ± 0.0000
freeze_layers,freeze_9,auc,0.5971372014679682,0.03596392172969166,0.5971 ± 0.0407
freeze_layers,freeze_9,auprc,0.14611967372671872,0.020430755668550196,0.1461 ± 0.0231
freeze_layers,freeze_9,accuracy,0.8879979497003255,0.009421117556655393,0.8880 ± 0.0107
freeze_layers,freeze_9,precision,0.0,0.0,0.0000 ± 0.0000
freeze_layers,freeze_9,recall,0.0,0.0,0.0000 ± 0.0000
freeze_layers,freeze_12,auc,0.5971372014679682,0.03596392172969166,0.5971 ± 0.0407
freeze_layers,freeze_12,auprc,0.14611967372671872,0.020430755668550196,0.1461 ± 0.0231
freeze_layers,freeze_12,accuracy,0.8879979497003255,0.009421117556655393,0.8880 ± 0.0107
freeze_layers,freeze_12,precision,0.0,0.0,0.0000 ± 0.0000
freeze_layers,freeze_12,recall,0.0,0.0,0.0000 ± 0.0000
infonce_weight,weight_0.0,auc,0.5956929202592081,0.05083793932870478,0.5957 ± 0.0575
infonce_weight,weight_0.0,auprc,0.13669570370266235,0.017336258106123853,0.1367 ± 0.0196
infonce_weight,weight_0.0,accuracy,0.8879979497003255,0.009421117556655393,0.8880 ± 0.0107
infonce_weight,weight_0.0,precision,0.0,0.0,0.0000 ± 0.0000
infonce_weight,weight_0.0,recall,0.0,0.0,0.0000 ± 0.0000
infonce_weight,weight_0.05,auc,0.6008225319627334,0.03874005682817526,0.6008 ± 0.0438
infonce_weight,weight_0.05,auprc,0.14850675217716872,0.02535492725407982,0.1485 ± 0.0287
infonce_weight,weight_0.05,accuracy,0.8879979497003255,0.009421117556655393,0.8880 ± 0.0107
infonce_weight,weight_0.05,precision,0.0,0.0,0.0000 ± 0.0000
infonce_weight,weight_0.05,recall,0.0,0.0,0.0000 ± 0.0000
infonce_weight,weight_0.1,auc,0.5971372014679682,0.03596392172969166,0.5971 ± 0.0407
infonce_weight,weight_0.1,auprc,0.14611967372671872,0.020430755668550196,0.1461 ± 0.0231
infonce_weight,weight_0.1,accuracy,0.8879979497003255,0.009421117556655393,0.8880 ± 0.0107
infonce_weight,weight_0.1,precision,0.0,0.0,0.0000 ± 0.0000
infonce_weight,weight_0.1,recall,0.0,0.0,0.0000 ± 0.0000
infonce_weight,weight_0.2,auc,0.6074194830106772,0.01780903187196711,0.6074 ± 0.0202
infonce_weight,weight_0.2,auprc,0.1470712233058188,0.011743610524517103,0.1471 ± 0.0133
infonce_weight,weight_0.2,accuracy,0.8879979497003255,0.009421117556655393,0.8880 ± 0.0107
infonce_weight,weight_0.2,precision,0.0,0.0,0.0000 ± 0.0000
infonce_weight,weight_0.2,recall,0.0,0.0,0.0000 ± 0.0000
d_model,dim_64,auc,0.580106657738706,0.0207716166641347,0.5801 ± 0.0235
d_model,dim_64,auprc,0.13681381897476314,0.009968157613675636,0.1368 ± 0.0113
d_model,dim_64,accuracy,0.8879979497003255,0.009421117556655393,0.8880 ± 0.0107
d_model,dim_64,precision,0.0,0.0,0.0000 ± 0.0000
d_model,dim_64,recall,0.0,0.0,0.0000 ± 0.0000
d_model,dim_128,auc,0.5971372014679682,0.03596392172969166,0.5971 ± 0.0407
d_model,dim_128,auprc,0.14611967372671872,0.020430755668550196,0.1461 ± 0.0231
d_model,dim_128,accuracy,0.8879979497003255,0.009421117556655393,0.8880 ± 0.0107
d_model,dim_128,precision,0.0,0.0,0.0000 ± 0.0000
d_model,dim_128,recall,0.0,0.0,0.0000 ± 0.0000
d_model,dim_256,auc,0.6138297529583071,0.03593560591687915,0.6138 ± 0.0407
d_model,dim_256,auprc,0.15361305678926532,0.011557032132964181,0.1536 ± 0.0131
d_model,dim_256,accuracy,0.8879979497003255,0.009421117556655393,0.8880 ± 0.0107
d_model,dim_256,precision,0.0,0.0,0.0000 ± 0.0000
d_model,dim_256,recall,0.0,0.0,0.0000 ± 0.0000
calibration,calib_none,auc,0.5971372858609397,0.03596401987897177,0.5971 ± 0.0407
calibration,calib_none,auprc,0.14611967372671872,0.020430755668550196,0.1461 ± 0.0231
calibration,calib_none,accuracy,0.8879979497003255,0.009421117556655393,0.8880 ± 0.0107
calibration,calib_none,precision,0.0,0.0,0.0000 ± 0.0000
calibration,calib_none,recall,0.0,0.0,0.0000 ± 0.0000
calibration,calib_temperature,auc,0.5971372014679682,0.03596392172969166,0.5971 ± 0.0407
calibration,calib_temperature,auprc,0.14611967372671872,0.020430755668550196,0.1461 ± 0.0231
calibration,calib_temperature,accuracy,0.8879979497003255,0.009421117556655393,0.8880 ± 0.0107
calibration,calib_temperature,precision,0.0,0.0,0.0000 ± 0.0000
calibration,calib_temperature,recall,0.0,0.0,0.0000 ± 0.0000
calibration,calib_platt,auc,0.5630282205764732,0.08219782835435191,0.5630 ± 0.0930
calibration,calib_platt,auprc,0.13479304615956125,0.035055314353110816,0.1348 ± 0.0397
calibration,calib_platt,accuracy,0.8436133688524005,0.07179693734726471,0.8436 ± 0.0812
calibration,calib_platt,precision,0.05040322580645162,0.07128092552283745,0.0504 ± 0.0807
calibration,calib_platt,recall,0.07716049382716049,0.10912141684977586,0.0772 ± 0.1235
neg_ratio,ratio_2,auc,0.5660477259132519,0.03238604664230392,0.5660 ± 0.0366
neg_ratio,ratio_2,auprc,0.24494842170149875,0.007132776340100107,0.2449 ± 0.0081
neg_ratio,ratio_2,accuracy,0.7615822554784716,0.031233859559998352,0.7616 ± 0.0353
neg_ratio,ratio_2,precision,0.05235109717868339,0.050551606594275086,0.0524 ± 0.0572
neg_ratio,ratio_2,recall,0.0077129786112776905,0.008442627400049092,0.0077 ± 0.0096
neg_ratio,ratio_4,auc,0.5971372014679682,0.03596392172969166,0.5971 ± 0.0407
neg_ratio,ratio_4,auprc,0.14611967372671872,0.020430755668550196,0.1461 ± 0.0231
neg_ratio,ratio_4,accuracy,0.8879979497003255,0.009421117556655393,0.8880 ± 0.0107
neg_ratio,ratio_4,precision,0.0,0.0,0.0000 ± 0.0000
neg_ratio,ratio_4,recall,0.0,0.0,0.0000 ± 0.0000
neg_ratio,ratio_6,auc,0.6489950488739861,0.06354011099019977,0.6490 ± 0.0719
neg_ratio,ratio_6,auprc,0.17548742596183078,0.07445220529020849,0.1755 ± 0.0843
neg_ratio,ratio_6,accuracy,0.8745278425652151,0.04696529974871344,0.8745 ± 0.0531
neg_ratio,ratio_6,precision,0.00784313725490196,0.011091871077436038,0.0078 ± 0.0126
neg_ratio,ratio_6,recall,0.003734827264239029,0.005281843370207638,0.0037 ± 0.0060
neg_ratio,ratio_8,auc,0.7273573598093074,0.03917120353723948,0.7274 ± 0.0443
neg_ratio,ratio_8,auprc,0.20821055912125278,0.02633988330887826,0.2082 ± 0.0298
neg_ratio,ratio_8,accuracy,0.9078095247234921,0.011060922694447424,0.9078 ± 0.0125
neg_ratio,ratio_8,precision,0.0,0.0,0.0000 ± 0.0000
neg_ratio,ratio_8,recall,0.0,0.0,0.0000 ± 0.0000
mhc_encoding,enc_pseudo_seq,auc,0.5971372014679682,0.03596392172969166,0.5971 ± 0.0407
mhc_encoding,enc_pseudo_seq,auprc,0.14611967372671872,0.020430755668550196,0.1461 ± 0.0231
mhc_encoding,enc_pseudo_seq,accuracy,0.8879979497003255,0.009421117556655393,0.8880 ± 0.0107
mhc_encoding,enc_pseudo_seq,precision,0.0,0.0,0.0000 ± 0.0000
mhc_encoding,enc_pseudo_seq,recall,0.0,0.0,0.0000 ± 0.0000
mhc_encoding,enc_simple_embed,auc,0.6031840097157777,0.03875191393009916,0.6032 ± 0.0439
mhc_encoding,enc_simple_embed,auprc,0.14342956261985798,0.015444735422800693,0.1434 ± 0.0175
mhc_encoding,enc_simple_embed,accuracy,0.8879979497003255,0.009421117556655393,0.8880 ± 0.0107
mhc_encoding,enc_simple_embed,precision,0.0,0.0,0.0000 ± 0.0000
mhc_encoding,enc_simple_embed,recall,0.0,0.0,0.0000 ± 0.0000
